metodo,param,alpha_real,n,media,vies,eqm,taxa_valida
EMV,alpha,0.5,50,0.5403478613442562,0.040347861344256164,0.020834636142722712,1.0
EMV,lambda,0.5,50,2.4322973235599665,0.43229732355996653,2.053403949569164,1.0
EMM,alpha,0.5,50,2.1458489128197864,1.6458489128197864,2.7313970606323497,1.0
EMM,lambda,0.5,50,300838.0905899646,300836.0905899646,34107184512034.324,1.0
EMV,alpha,0.5,200,0.5098575135775604,0.009857513577560373,0.003141167627827931,1.0
EMV,lambda,0.5,200,2.106318418437885,0.10631841843788514,0.2748558366564882,1.0
EMM,alpha,0.5,200,2.0334675573527727,1.5334675573527727,2.3523894900527345,1.0
EMM,lambda,0.5,200,130639342.6715907,130639340.6715907,8.357582939626514e+19,1.0
EMV,alpha,0.5,1000,0.5017404986059423,0.0017404986059422756,0.0005771657777663338,1.0
EMV,lambda,0.5,1000,2.0182971548989217,0.018297154898921697,0.046697778138112364,1.0
EMM,alpha,0.5,1000,2.0064600253582845,1.5064600253582845,2.2694525741310185,1.0
EMM,lambda,0.5,1000,12987416.735504793,12987414.735504793,2.633224435905283e+17,1.0
EMV,alpha,2.0,50,4.4301586003406745,2.4301586003406745,1794.1691755432541,0.9788
EMV,lambda,2.0,50,5.583910216269689,3.5839102162696888,4104.254362628453,0.9788
EMM,alpha,2.0,50,6.422809430603907,4.422809430603907,2254.443980719711,0.9788
EMM,lambda,2.0,50,9.129167753264287,7.129167753264287,5571.9735006605415,0.9788
EMV,alpha,2.0,200,2.1677441867026634,0.16774418670266344,0.4155582406896432,1.0
EMV,lambda,2.0,200,2.2397961273817084,0.2397961273817084,0.8391004356903752,1.0
EMM,alpha,2.0,200,2.9929098233872837,0.9929098233872837,1.6451357275740288,1.0
EMM,lambda,2.0,200,3.8096275651145537,1.8096275651145537,4.63317554235731,1.0
EMV,alpha,2.0,1000,2.0276603251545207,0.02766032515452066,0.04153441097591557,1.0
EMV,lambda,2.0,1000,2.0397662072637273,0.03976620726372726,0.08400251187876759,1.0
EMM,alpha,2.0,1000,2.5414330435591146,0.5414330435591146,0.3814365997302235,1.0
EMM,lambda,2.0,1000,3.042456249124984,1.0424562491249838,1.2912848027118133,1.0
EMV,alpha,10.0,50,34.72686966776622,24.726869667766223,111240.57714981856,0.6106
EMV,lambda,10.0,50,7.13543004581789,5.13543004581789,3916.585268317539,0.6106
EMM,alpha,10.0,50,45.69870050970497,35.69870050970497,162611.86074430068,0.6106
EMM,lambda,10.0,50,9.589586979016081,7.589586979016081,6837.321683435292,0.6106
EMV,alpha,10.0,200,31.246517264753496,21.246517264753496,69642.50272685087,0.857
EMV,lambda,10.0,200,6.647172019185515,4.647172019185515,3378.16259281085,0.857
EMM,alpha,10.0,200,36.16332569210304,26.163325692103037,123720.0620432175,0.857
EMM,lambda,10.0,200,7.731843226966538,5.731843226966538,6035.012462482637,0.857
EMV,alpha,10.0,1000,13.195864658723243,3.1958646587232433,588.2578941881302,0.9962
EMV,lambda,10.0,1000,2.7005522678952096,0.7005522678952096,29.30835556129021,0.9962
EMM,alpha,10.0,1000,13.671187011996782,3.671187011996782,601.7273158171258,0.9962
EMM,lambda,10.0,1000,2.8051413346043255,0.8051413346043255,29.77637142296529,0.9962
